year,concept,exact_name,label,coding,source_documentation,missingness,uniqueness,applies_to_all_records,whether_weight_normalized,whether_yearly_weights_can_be_used_in_pooled_multi_year_file,uncertainty
2014,PSU or cluster,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,region,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,urban-rural residence,Area,Area,"{""1.0"": ""Urban/Suburbs"", ""2.0"": ""Towns/Rural"", ""3.0"": ""Dont_know"", ""4.0"": ""Refused""}",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Area distinguishes Urban/Suburbs from Towns/Rural; it is not a fine region variable.
2014,age,Age,Age of the respondent,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,73 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,gender,Gender,Gender of the respondent,"{""1.0"": ""Male"", ""2.0"": ""Female""}",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,education,Education,Education of the respondent,"{""1.0"": ""Elementary_or_less"", ""2.0"": ""Secondary"", ""3.0"": ""College"", ""4.0"": ""Dont_know"", ""5.0"": ""Refused""}",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,4 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,income quintile,Income,Income quintile,"{""1.0"": ""Poorest_20%"", ""2.0"": ""Second_20%"", ""3.0"": ""Middle_20%"", ""4.0"": ""Fourth_20%"", ""5.0"": ""Richest_20%""}",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,5 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,household adult count,N_adults,Number of adults 15 years of age and above in household,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""09"", ""10+""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,10 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,household child count,N_child,Number of children under 15 years of age in household,"[""00"", ""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""10+""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,30 missing or blank of 1000 records,9 unique nonmissing values,partial,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,respondent ID,Random_ID,Unique respondent identifier,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1000 unique nonmissing IDs; duplicate rows=0,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,household ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,interview ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,country ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,year variable,year,Year when the GWP was administered in the country,"{""1.0"": ""2015""}",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,interview date,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,survey weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,351 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2015,population weight,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,post-stratification weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,351 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2015,strata,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,PSU or cluster,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,region,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2015,urban-rural residence,Area,Area,"{""1.0"": ""Urban/Suburbs"", ""2.0"": ""Towns/Rural"", ""3.0"": ""Dont_know"", ""4.0"": ""Refused""}",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Area distinguishes Urban/Suburbs from Towns/Rural; it is not a fine region variable.
2015,age,Age,Age of the respondent,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,73 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,gender,Gender,Gender of the respondent,"{""1.0"": ""Male"", ""2.0"": ""Female""}",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,education,Education,Education of the respondent,"{""1.0"": ""Elementary_or_less"", ""2.0"": ""Secondary"", ""3.0"": ""College"", ""4.0"": ""Dont_know"", ""5.0"": ""Refused""}",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,4 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,income quintile,Income,Income quintile,"{""1.0"": ""Poorest_20%"", ""2.0"": ""Second_20%"", ""3.0"": ""Middle_20%"", ""4.0"": ""Fourth_20%"", ""5.0"": ""Richest_20%""}",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,5 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,household adult count,N_adults,Number of adults 15 years of age and above in household,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""09"", ""10+""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,10 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2015,household child count,N_child,Number of children under 15 years of age in household,"[""00"", ""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""09""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,25 missing or blank of 1000 records,11 unique nonmissing values,partial,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,respondent ID,Random_ID,Unique respondent identifier,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1000 unique nonmissing IDs; duplicate rows=0,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,household ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,interview ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,country ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,year variable,year,Year when the GWP was administered in the country,"{""1.0"": ""2016""}",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,interview date,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,survey weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,314 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2016,population weight,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,post-stratification weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,314 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2016,strata,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,PSU or cluster,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,region,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2016,urban-rural residence,Area,Area,"{""1.0"": ""Urban/Suburbs"", ""2.0"": ""Towns/Rural"", ""3.0"": ""Dont_know"", ""4.0"": ""Refused""}",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Area distinguishes Urban/Suburbs from Towns/Rural; it is not a fine region variable.
2016,age,Age,Age of the respondent,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,71 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,gender,Gender,Gender of the respondent,"{""1.0"": ""Male"", ""2.0"": ""Female""}",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,education,Education,Education of the respondent,"{""1.0"": ""Elementary_or_less"", ""2.0"": ""Secondary"", ""3.0"": ""College"", ""4.0"": ""Dont_know"", ""5.0"": ""Refused""}",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,3 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,income quintile,Income,Income quintile,"{""1.0"": ""Poorest_20%"", ""2.0"": ""Second_20%"", ""3.0"": ""Middle_20%"", ""4.0"": ""Fourth_20%"", ""5.0"": ""Richest_20%""}",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,5 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,household adult count,N_adults,Number of adults 15 years of age and above in household,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,8 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2016,household child count,N_child,Number of children under 15 years of age in household,"[""00"", ""01"", ""02"", ""03"", ""04"", ""05"", ""06""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,10 missing or blank of 1000 records,8 unique nonmissing values,partial,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2017,respondent ID,Random_ID,Unique respondent identifier,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1000 unique nonmissing IDs; duplicate rows=0,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2017,household ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,interview ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,country ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,year variable,year,Year when the GWP was administered in the country,"{""1.0"": ""2017""}",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2017,interview date,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,survey weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,322 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2017,population weight,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,post-stratification weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,322 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2017,strata,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,PSU or cluster,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,region,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2017,urban-rural residence,Area,Area,"{""1.0"": ""Urban/Suburbs"", ""2.0"": ""Towns/Rural"", ""3.0"": ""Dont_know"", ""4.0"": ""Refused""}",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Area distinguishes Urban/Suburbs from Towns/Rural; it is not a fine region variable.
2017,age,Age,Age of the respondent,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,73 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2017,gender,Gender,Gender of the respondent,"{""1.0"": ""Male"", ""2.0"": ""Female""}",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,2 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
