country,dataset,source_file,observation_level,variable,round,rows_in_round,nonmissing,valid
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,15,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,16,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,17,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,18,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,19,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,20,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,21,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,22,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,23,1517,1517,1517
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,24,1516,1516,1516
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,25,1516,1516,1516
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,26,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,27,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,28,1513,1513,1513
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,29,1512,1512,1512
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,30,1510,1510,1510
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,31,1512,1512,1512
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,32,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,33,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,34,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,35,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,36,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,37,1510,1510,1510
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,38,1509,1509,1509
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,39,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,40,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,41,1505,1505,1505
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,42,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,43,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,44,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,45,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,46,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,47,1504,1504,1504
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,48,1499,1499,1499
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,49,1498,1498,1498
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,50,1495,1495,1495
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,51,1494,1494,1494
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,52,1494,1494,1494
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,53,1491,1491,1491
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,54,1491,1491,1491
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,55,1490,1490,1490
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,56,1489,1489,1489
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,57,1488,1488,1488
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,58,1486,1486,1486
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,59,1484,1484,1484
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,60,1451,1451,1451
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,61,1439,1439,1439
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,62,1429,1429,1429
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,63,1423,1423,1423
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,64,1400,1400,1400
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,65,1383,1383,1383
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,66,1378,1378,1378
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,67,1412,1412,1412
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,68,1406,1406,1406
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,69,1399,1399,1399
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,70,1373,1373,1373
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,71,1357,1357,1357
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,72,1320,1320,1320
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,73,1289,1289,1289
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,74,1278,1278,1278
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,75,1275,1275,1275
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,76,1564,1564,1564
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,77,1538,1538,1538
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,78,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,79,1492,1492,1492
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,80,1478,1478,1478
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,81,1464,1464,1464
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,82,1463,1463,1463
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,1,1504,1504,1504
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,2,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,3,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,4,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,5,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,6,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,7,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,8,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,9,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,10,1525,1525,1525
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,11,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,12,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,13,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,14,1519,1519,1519
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,15,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,16,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,17,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,18,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,19,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,20,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,21,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,22,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,23,1517,1517,1517
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,24,1516,1516,1516
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,25,1516,1516,1516
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,26,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,27,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,28,1513,1513,1513
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,29,1512,1512,1512
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,30,1510,1510,1510
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,31,1512,1512,1512
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,32,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,33,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,34,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,35,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,36,1511,1511,1511
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,37,1510,1510,1510
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,38,1509,1509,1509
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,39,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,40,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,41,1505,1505,1505
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,42,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,43,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,44,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,45,1508,1508,1508
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,46,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,47,1504,1504,1504
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,48,1499,1499,1499
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,49,1498,1498,1498
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,50,1495,1495,1495
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,51,1494,1494,1494
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,52,1494,1494,1494
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,53,1491,1491,1491
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,54,1491,1491,1491
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,55,1490,1490,1490
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,56,1489,1489,1489
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,57,1488,1488,1488
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,58,1486,1486,1486
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,59,1484,1484,1484
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,60,1451,1451,1451
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,61,1439,1439,1439
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,62,1429,1429,1429
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,63,1423,1423,1423
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,64,1400,1400,1400
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,65,1383,1383,1383
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,66,1378,1378,1378
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,67,1412,1412,1412
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,68,1406,1406,1406
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,69,1399,1399,1399
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,70,1373,1373,1373
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,71,1357,1357,1357
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,72,1320,1320,1320
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,73,1289,1289,1289
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,74,1278,1278,1278
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,75,1275,1275,1275
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,76,1564,1564,1564
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,77,1538,1538,1538
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,78,1514,1514,1514
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,79,1492,1492,1492
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,80,1478,1478,1478
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,81,1464,1464,1464
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhid,82,1463,1463,1463
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,1,1504,1504,1504
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,2,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,3,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,4,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,5,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,6,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,7,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,8,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,9,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,10,1525,1525,1525
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,11,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,12,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,13,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,hhsize,14,1519,1519,1519
