concept,available_in_kyrgyzstan,available_in_uzbekistan,kyrgyzstan_candidate_variables,uzbekistan_candidate_variables,question_wording_match,recall_period_match,response_scale_match,observation_level_match,year_compatibility,harmonization_possibility,feasibility_status,explanation
total expenditure,not found,not found,[],[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,unknown,unknown,No label-supported candidate was found; documentation may still require manual review.
household income,not found,not found,[],[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,unknown,unknown,No label-supported candidate was found; documentation may still require manual review.
wealth,not found,yes,[],"[""windex10 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex10r | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex10u | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex5 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex5r | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex5u | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""wscore | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""wscorer | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""wscoreu | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""windex10 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""windex10r | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""windex10u | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav""]",no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
assets,yes,not found,"[""asset | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh2b.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
household size,yes,yes,"[""i356 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id3.dta"", ""h805_o1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o10 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o11 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o12 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o13 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o14 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o15 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o4 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h805_o5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta""]","[""WS10A1 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav"", ""HH11 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/wm.sav"", ""HH11 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/hl.sav"", ""HH11 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/hh.sav"", ""HH11 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/ch.sav"", ""HIMEM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS2_2000_Datasets/UZhl.sav"", ""HIMEM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS2_2000_Datasets/UZch.sav"", ""HIMEM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS2_2000_Datasets/UZWm.sav"", ""HIMEM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS2_2000_Datasets/UZHh.sav""]",no exact match / unknown,unknown or different,requires value-label review,overlap,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
rural or urban,yes,yes,"[""urb | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2010/community/cm1.dta"", ""urb | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/community/cm1.sav""]","[""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/fs.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/wm.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/hl.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/hh.sav"", ""HH6 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/ch.sav""]",no exact match / unknown,unknown or different,requires value-label review,different or unknown,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
region,yes,yes,"[""y606_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt6.dta"", ""y606_4 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt6.dta"", ""y614 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt6.dta"", ""i401 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id4.dta"", ""i402 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id4.dta"", ""i419 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id4.dta"", ""h606 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6a.dta"", ""oblast | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta"", ""i800d_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id8.dta"", ""i824_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id8.dta"", ""i710_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id7.dta"", ""i656_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id6.dta""]","[""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB17 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""georegion | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""georegion | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav"", ""georegion | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav"", ""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/fs.sav"", ""georegion | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/fs.sav"", ""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""georegion | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HH7 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav""]",no exact match / unknown,unknown or different,requires value-label review,overlap,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
women's education,yes,yes,"[""i225 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id2a.dta"", ""i226 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id2a.dta"", ""i225 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Individual/id2a.sav"", ""i226 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Individual/id2a.sav"", ""i509_f | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2012/individual/id5a.dta"", ""i509_m | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2012/individual/id5a.dta"", ""i509_f | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2012/individual/id5a.sav"", ""i509_m | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2012/individual/id5a.sav"", ""i509_f | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2011/individual/id5a.dta"", ""i509_m | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2011/individual/id5a.dta"", ""i509_f | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2011/individual/id5a.sav"", ""i509_m | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2011/individual/id5a.sav""]","[""ED5A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""CB5A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/fs.sav"", ""ED5A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/fs.sav"", ""ED5A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""melevel | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/wm.sav"", ""MELEVEL | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS2_2000_Datasets/UZWm.sav""]",no exact match / unknown,unknown or different,requires value-label review,overlap,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
women's employment,yes,not found,"[""i501_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id5.dta"", ""i501_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id5.dta"", ""i501_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Individual/id5.sav"", ""i537_10 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/individual/id5e.dta"", ""i537_10 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2013/individual/id5e.sav""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
child education,yes,yes,"[""i210 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i101_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id1.dta"", ""i215 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id2a.dta"", ""i101_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Individual/id1.dta"", ""c113 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""i215 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Individual/id2a.sav"", ""i101_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Individual/id1.sav"", ""c113 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Community/cm1.sav"", ""i500_12 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/individual/id5b.dta"", ""i201 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/individual/id2a.dta"", ""i101_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/individual/id1.dta"", ""c113 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/community/cm1.dta""]","[""HA31 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB10A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB10B | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB11 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB12A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB12B | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB5 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB9 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""ED10A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""ED10B | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""ED15 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav"", ""ED16A | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hl.sav""]",no exact match / unknown,unknown or different,requires value-label review,overlap,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
child nutrition,yes,yes,"[""i839_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/individual/id8e.dta"", ""i839_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2013/individual/id8e.sav"", ""i801_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2010/individial/id8.dta"", ""i802_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2010/individial/id8.dta"", ""i801_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/individial/id8.sav"", ""i802_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/individial/id8.sav""]","[""HAM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HAP | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HAZ | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HAZ2 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HAZFLAG | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHM | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHP | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHZ | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHZ2 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHZFLAG | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""WHZNOAGE | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/ch.sav"", ""HAZ2 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS_2006_SPSS_Datasets/who_z.sav""]",no exact match / unknown,unknown or different,requires value-label review,different or unknown,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
