year,variable,label,type,coding,range,missing_codes,derivation_documentation,whether_respondent_level,whether_may_be_used_directly,whether_recalculation_required,cross_year_comparability,verification_status
2015,Prob_sev,Probability of being severely food insecure,float64,individual probability from 0 to near 1,0.0 to 0.737845928276933,no special missing metadata supplied,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2015,wt,Post-stratification sampling weights,float64,post-stratification sampling weight,0.343816953578758 to 2.706660804556,no special missing metadata supplied,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes within documented FAO formulas; multi-year rescaling remains TBD,not applicable,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,Raw_score,Sum of Affirmative responses to FIES questions,float64,"integer count of affirmative FIES items, 0-8",0.0 to 8.0,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required if using supplied raw score; can be recomputed for validation later,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,Raw_score_par,Estimated person parameters using the Rasch model,float64,Rasch global-reference-scale parameter/error,-2.5376890475816 to 2.6257489642438,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,Raw_score_par_error,Estimated person parameter errors using the Rasch model,float64,Rasch global-reference-scale parameter/error,0.659400703104128 to 1.17824992365527,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,Prob_Mod_Sev,Probability of being moderately or severely food insecure,float64,individual probability from 0 to near 1,0.0 to 0.994284508336688,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,Prob_sev,Probability of being severely food insecure,float64,individual probability from 0 to near 1,0.0 to 0.737845928276933,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2016,wt,Post-stratification sampling weights,float64,post-stratification sampling weight,0.337408782234311 to 2.81571695692728,no special missing metadata supplied,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes within documented FAO formulas; multi-year rescaling remains TBD,not applicable,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,Raw_score,Sum of Affirmative responses to FIES questions,float64,"integer count of affirmative FIES items, 0-8",0.0 to 8.0,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required if using supplied raw score; can be recomputed for validation later,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,Raw_score_par,Estimated person parameters using the Rasch model,float64,Rasch global-reference-scale parameter/error,-2.5376890475816 to 2.6257489642438,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,Raw_score_par_error,Estimated person parameter errors using the Rasch model,float64,Rasch global-reference-scale parameter/error,0.659400703104128 to 1.17824992365527,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,Prob_Mod_Sev,Probability of being moderately or severely food insecure,float64,individual probability from 0 to near 1,0.0 to 0.994284508336688,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,Prob_sev,Probability of being severely food insecure,float64,individual probability from 0 to near 1,0.0 to 0.737845928276933,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes for later documented analysis; no prevalence is computed in this phase,not required for supplied official variables; recalibration only if supervisor requires a new harmonized outcome,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
2017,wt,Post-stratification sampling weights,float64,post-stratification sampling weight,0.343265445701469 to 3.43265445701469,no special missing metadata supplied,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,yes,yes within documented FAO formulas; multi-year rescaling remains TBD,not applicable,"STRONG; same variable names, labels, and technical documentation across 2014-2017",VERIFIED
