year,concept,classification,verified_variables,evidence_source,notes
2016,sex/gender,VERIFIED AVAILABLE,"[""Gender""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,education,VERIFIED AVAILABLE,"[""Education""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,employment,NOT AVAILABLE,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2016,marital status,NOT AVAILABLE,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2016,household size,VERIFIED AVAILABLE,"[""N_adults"", ""N_child""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,children,VERIFIED AVAILABLE,"[""N_child""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,income/wealth,VERIFIED AVAILABLE,"[""Income""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,region,NOT AVAILABLE,[],data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2016,rural or urban residence,VERIFIED AVAILABLE,"[""Area""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Area is available but combines Towns/Rural into one category.
2016,survey weight,VERIFIED AVAILABLE,"[""wt""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,FIES food insecurity,VERIFIED AVAILABLE,"[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,migration/remittances,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF","No remittance, migration, or transfer-from-abroad variable was verified; do not infer remittances from Income."
2017,household shocks,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",No household shock exposure module was verified; do not infer shocks from food insecurity or demographics.
2017,coping/assistance,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",Not available in supplied Kazakhstan FIES package.
2017,age,VERIFIED AVAILABLE,"[""N_adults"", ""N_child"", ""Age""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,sex/gender,VERIFIED AVAILABLE,"[""Gender""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,education,VERIFIED AVAILABLE,"[""Education""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,employment,NOT AVAILABLE,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2017,marital status,NOT AVAILABLE,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2017,household size,VERIFIED AVAILABLE,"[""N_adults"", ""N_child""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,children,VERIFIED AVAILABLE,"[""N_child""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,income/wealth,VERIFIED AVAILABLE,"[""Income""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,region,NOT AVAILABLE,[],data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2017,rural or urban residence,VERIFIED AVAILABLE,"[""Area""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Area is available but combines Towns/Rural into one category.
2017,survey weight,VERIFIED AVAILABLE,"[""wt""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2017,FIES food insecurity,VERIFIED AVAILABLE,"[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
