country,concept,status,exact_file,exact_variable,label,question_wording,value_labels,unit,recall_period,observation_level,waves_or_rounds,missingness,usable_sample_size,comparison_status,confidence,notes
kyrgyzstan,health shocks,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2010"", ""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 3 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
kyrgyzstan,agricultural shocks,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 24 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
kyrgyzstan,climate-related shocks,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 63 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
kyrgyzstan,loss of remittances,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 1 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
kyrgyzstan,food insecurity,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta,i251_1,Were you worried that you wouldn't have enough food due to lack of money?,Were you worried that you wouldn't have enough food due to lack of money?,"{""1"": ""Yes, many times"", ""2"": ""Yes, 1-2 times"", ""3"": ""No, never"", ""88"": ""Refuse to answer"", ""99"": ""Don't know""}",not stated in metadata,last 12 months (questionnaire battery introduction),person,"[""2019""]",463/7043 (6.6%),6580,country-specific candidate only,high,"Top automated candidate selected from 11 label-supported candidates. The 7,043 rows are persons age 18+, not households; codes 88/99 are treated as non-usable and household aggregation requires approval."
kyrgyzstan,food consumption,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh4a.dta,h402a,Quantity of item  hh consumed from own production in the last 12 months,Quantity of item  hh consumed from own production in the last 12 months,{},not stated in metadata,last 12 months,household,"[""2013"", ""2016"", ""2019""]",0/69977 (0.0%),69977,country-specific candidate only,high,Top automated candidate selected from 3 label-supported candidates. Rows are household-food-item records and cover own-production consumption only.
kyrgyzstan,food expenditure,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh4a.dta,h401c,Total expenses on the following items hh bought during the last 12 months,Total expenses on the following items hh bought during the last 12 months,{},not stated in metadata,last 12 months,household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/69977 (0.0%),69977,country-specific candidate only,high,"Top automated candidate selected from 21 label-supported candidates. The 69,977 rows are household-food-item records, not unique households; aggregate by hhid using food_item and period fields."
kyrgyzstan,assets or wealth,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh2b.dta,asset,Asset,Asset,"{""1"": ""main dwelling"", ""2"": ""another house/another apartment"", ""3"": ""garage"", ""4"": ""bicycle"", ""5"": ""motorcycle, scooter"", ""6"": ""car, minibus"", ""7"": ""tractor"", ""8"": ""truck"", ""9"": ""other agricultural machine"", ""10"": ""refrigerator"", ""11"": ""gas stove"", ""12"": ""electric stove"", ""13"": ""microwave"", ""14"": ""air conditioner"", ""15"": ""sewing machine"", ""16"": ""washing machine (regular)"", ""17"": ""washing machine (automated)"", ""18"": ""vacuum cleaner"", ""19"": ""sofa"", ""20"": ""wardrobe"", ""21"": ""kitchen furniture"", ""22"": ""radio / cassette player"", ""23"": ""complete music system"", ""24"": ""television"", ""25"": ""video / dvd player"", ""26"": ""video camera"", ""27"": ""photo camera"", ""28"": ""digital photo camera"", ""29"": ""personal computer / laptop"", ""30"": ""tablet"", ""31"": ""satellite dish"", ""32"": ""mobile phone"", ""33"": ""smartphone"", ""34"": ""landline phone"", ""35"": ""internet connection""}",not stated in metadata,,household,"[""2019""]",0/23022 (0.0%),23022,candidate in both countries,high,Top automated candidate selected from 1 label-supported candidates. Rows form a household-asset roster; construct ownership/wealth only after pairing companion fields and checking duplicates.
kyrgyzstan,income or total expenditure,DOCUMENTATION INSUFFICIENT,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,household identifier,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav,HH2,Household number,Household number,{},not stated in metadata,,birth,"[""2000"", ""2006"", ""2021-22""]",0/9064 (0.0%),9064,candidate in both countries,high,Top automated candidate selected from 27 label-supported candidates.
uzbekistan,survey year or round,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav,round,Survey round,Survey round,{},not stated in metadata,,birth,"[""2000"", ""2006"", ""2021-22""]",0/9064 (0.0%),9064,candidate in both countries,high,Top automated candidate selected from 21 label-supported candidates.
uzbekistan,weights,AVAILABLE IN UZBEKISTAN ONLY,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav,hhweight,Household sample weight,Household sample weight,{},not stated in metadata,,household,"[""2000"", ""2006"", ""2021-22""]",0/15627 (0.0%),15627,country-specific candidate only,high,Top automated candidate selected from 15 label-supported candidates.
uzbekistan,rural or urban,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav,HH6,Area,Area,"{""1.0"": ""URBAN"", ""2.0"": ""RURAL""}",not stated in metadata,,birth,"[""2006"", ""2021-22""]",0/9064 (0.0%),9064,candidate in both countries,high,Top automated candidate selected from 10 label-supported candidates.
uzbekistan,region,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav,HH7,Region,Region,"{""1.0"": ""REPUBLIC OF KARAKALPAKSTAN"", ""2.0"": ""ANDIJAN REGION"", ""3.0"": ""BUKHARA REGION"", ""4.0"": ""JIZZAKH REGION"", ""5.0"": ""KASHKADARYA REGION"", ""6.0"": ""NAVOI REGION"", ""7.0"": ""NAMANGAN REGION"", ""8.0"": ""SAMARKAND REGION"", ""9.0"": ""SURKHANDARYA REGION"", ""10.0"": ""SYRDARYA REGION"", ""11.0"": ""TASHKENT REGION"", ""12.0"": ""FERGANA REGION"", ""13.0"": ""KHOREZM REGION"", ""14.0"": ""TASHKENT CITY""}",not stated in metadata,,birth,"[""2006"", ""2021-22""]",0/9064 (0.0%),9064,candidate in both countries,high,Top automated candidate selected from 17 label-supported candidates.
uzbekistan,household size,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/hh.sav,WS10A1,Members of your household most often wash your hands,Members of your household most often wash your hands,"{""1.0"": ""FIXED FACILITY (SINK / TAP): IN DWELLING"", ""2.0"": ""FIXED FACILITY (SINK / TAP): IN YARD / PLOT"", ""3.0"": ""MOBILE OBJECT: (BUCKET / JUG / KETTLE)"", ""4.0"": ""NO HANDWASHING PLACE IN DWELLING / YARD / PLOT"", ""6.0"": ""OTHER"", ""9.0"": ""NO RESPONSE""}",not stated in metadata,,household,"[""2000"", ""2006"", ""2021-22""]",11448/15627 (73.3%),4179,candidate in both countries,high,Top automated candidate selected from 9 label-supported candidates.
uzbekistan,migration,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav,WB15,Duration of living in current place,Duration of living in current place,"{""95.0"": ""ALWAYS / SINCE BIRTH"", ""99.0"": ""NO RESPONSE""}",not stated in metadata,,woman,"[""2021-22""]",394/18003 (2.2%),17609,candidate in both countries,high,Top automated candidate selected from 3 label-supported candidates.
uzbekistan,remittances,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,remittance amount,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,economic shocks,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,employment shocks,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,health shocks,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,agricultural shocks,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,climate-related shocks,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,loss of remittances,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,food insecurity,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,food consumption,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,food expenditure,AVAILABLE IN KYRGYZSTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
uzbekistan,assets or wealth,FULLY AVAILABLE,data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/bh.sav,windex5,Wealth index quintile,Wealth index quintile,"{""1.0"": ""Poorest"", ""2.0"": ""Second"", ""3.0"": ""Middle"", ""4.0"": ""Fourth"", ""5.0"": ""Richest""}",not stated in metadata,,birth,"[""2000"", ""2006"", ""2021-22""]",0/9064 (0.0%),9064,candidate in both countries,high,Top automated candidate selected from 68 label-supported candidates.
uzbekistan,income or total expenditure,DOCUMENTATION INSUFFICIENT,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
